"","x"
"2032","snacks, office, pay, people, benefits"
"2033","international company good challenge, takes care of employees, good office and good system set up"
"2034","-learn how to use the Bloomberg Terminal during the extensive training program"
"2035","Great people, young fun culture and a great building"
"2036","good benefits, decent salary, good location"
"2037","Good starting salary
Great training programmes, always letting you do more courses to expand your product knowledge. 
Working hours / Life balance
Client interaction from the get-go
Free food and great benefits
Good career progression opportunities within the firm - Product specialist, Sales or analyst are just some, that colleagues have moved into."
"2038","Nice offices, diverse opportunities across different sectors and products"
"2039","Excellent Benefits; Management generally bends over backwards to accommodate employees"
"2040","Good starting salary, extensive training, great colleagues, free snacks."
"2041","Great training, experience. Great teamwork and work environment."
"2042","Compensation is top of industry. Journalists have access to wide range of research and analytical tools to shape story ideas and drive better reporting. The company's brand is top notch, probably top 5 in national media, and easily so for business and economics journalism. There is a lot of mobility within the company for highly rated employees."
"2043","good benefits, good working hours"
"2044","This company hired me at $10k more than I asked for ....I think that alone says a lot. Couple it with some of the best benefits in the industry - completely paid medical for myself and my husband, four weeks vacation, etc, etc. Not to mention the unlimited food. Honestly, if you wanted to you could eat three meals a day there. :) It's also a super innovative, inspiring and energizing environment. I loved the work I... did here as well - and mostly the people were great. I had some issues with my manager, and ultimately left for that reason (well, my department was in transition as well). I regret leaving everyday!"
"2045","Takes care employees. work life balance is good. Good pay and benefits"
"2046","Great company. Lots of smart international people, fast paced, and dynamic. Wonderful offices, free food, and good perks."
"2047","Great place to work, meet smart people, and there is the potential for career growth."
"2048","Smart people, casual environment & good networking opportunities"
"2049","Bloomberg has a great work culture"
"2050","Excellent Employee benefits, good STARTING pay, free meals and snacks, good tech for employees (dual 27"" screens + powerful PC)

Learning opportunities are abundant to grow your skill-set"
"2051","Compensation, fringe benefits, culture that allows for movement around the enterprise. Company values are amazing and is a reflection of Mike's values. The company is working hard to pivot as more automation is changing the finance industry."
"2052","Great place to work.  Great people to work with"
"2053","Great salary and benefits. Work life balance was excellent. Was treated with a lot of respect and met a lot of brilliant people. The terminal is a killer product. If you're providing value, your career will be advanced and you will be rewarded. They definitely want to keep their employees happy. If you join the right team, you will be very happy here.  I liked the company a lot more than I liked my day to day work."
"2054","-Innovative
-Disruptive
-Family atmosphere
-Great product and service with a competitive edge"
"2055","Can learn skills vital for corporate life such as how to be fake, hypocritical, political; nice office infrastructure; expensive annual summer party; good health benefits"
"2056","True technology-focused company, great mobility opportunities, talented engineering workforce, pantry, philanthropy and benefits."
"2057","Free salads. Free fancy salads actually. You quickly get over it though when you realise you cannot afford to buy true salads yourself if you wanted to"
"2058","Great atmosphere.
Most colleagues are truly motivated and care deeply about the company and its culture
Lots of authonomy"
"2059","great working environment, colleagues and company culture; possibility to do a good career in sales department plus excellent overall training"
"2060","Great training, experience. Great teamwork and work environment."
"2061","Company has changed a lot over last few years. It has adopted open source software and agile development processes.  Developer community is  very helpful."
"2062","Ambiente moderno e com padrão americano de um bom design, com um pantry atrativo (comida, bebida, doce), bons benefícios, empresa multicultural e domínio de outros idiomas (inglês e espanhol). Salários acima da média."
"2063","Amazing work life balance
Very innovative people"
"2064","Perfect Introduction to finance and the markets. Cross-asset training is encouraged throughout your time in analytics or sales.
Great benefits and employee care in a social sense"
"2065","-good starting salary
-super nice colleagues that are supportive and international
-free pantry"
"2066","free lunch and snacks. Very friendly stuff and people are willing to help."
"2067","Fair compensation, good benefits, pleasant working environment, is a big company."
"2068","the snacks, the people, and the building"
"2069","Good welfare and work balance"
"2070","Good benefits, free food, that's about it."
"2071","Brand...and this is really all they care about.."
"2072","- good benefits
- work life balance
- smart co-workers"
"2073","Free food

If you're reading this you probably have potential job interview or got a job offer. My personal advice to you: RUN! 

Since I quit Bloomberg I've been the happiest in my entire life!"
"2074","Excellent working environment, based on ethos and values. Flat structure and highly collaborative."
"2075","Excellent company to work for."
"2076","Great energetic work environment and awesome benefits!!!"
"2077","Open Culture
Nice Office
Free Snack/Soup/Dinner
Good Work/Life Balance"
"2078","team work and support and transparency"
"2079","Very stimulating place to work. Very well treated. Paid well above market rates. Very technical. Perfect job if you want to settle down and have some stability."
"2080","Free food and access to influential people. Great for networking and being recruited to work for another company"
"2081","Experiência global, ambiente totalmente aberto e amigável. Benefícios excelentes e salários acima da média. Aprendizado constante e investimento na carreira dos funcionários."
"2082","Great opportunity to meet high-profile people and interact with them e.g. CEOs, influencers; great job to build up your network, plus you're always learning as you respond to breaking news and look for the right voice to bring on TV"
"2083","Friendly and collaborative culture 
Encourage employees to seek new roles and challenges within the firm in different departments and offices across the world."
"2084","Great projects, excellent team mates, good salary and benefits. Love the company ethos and values.Mike Bloomberg is a great leader."
"2085","Great people, free food, techie work culture"
"2086","Great Company and good benefit"
"2087","good benefit , lots of opportunities"
"2088","Good people, no red tape, very interesting projects, location"
"2089","Good for young energetic people. Snack bar and the interior design of the office is fun"
"2090","Free Food. Breakfast, Lunch, and Dinner is covered.  
Good Benefits."
"2091","Compare to small companies, there are more opportunities here. Transparent management chains provides fair working environment.  Work life balance is generally acceptable."
"2092","Great culture, amazing people, steep learning curve. Company really takes care and invest in its employees. I loved it!  A lot of opportunities to move within different departments and really develop your career."
"2093","Dynamic culture. Ability to switch divisions and teams. Good benefits and interaction with top CEOs of investment banks"
"2094","Office
Great salary 
Benefits - pension, private medical insurance, etc..
External activities
Free tickets to events and places. HR is really nice and helpful."
"2095","Very smart set of people and very friendly, you learn a lot from them. Renewable energy is an interesting industry and most certainly the future."
"2096","Bloomberg is an exciting place to work. The company culture is great. The pay is great. The benefits are great. The office is amazing. The technology is being rapidly updated. Some of the smartest people I know still work there. There is lots of talent in this company! Plenty of training opportunities. Generous vacation. Generous maternity leave. Diversity."
"2097","I truly believe Bloomberg is one of the best corporate places to work. Work/life balance, excellent pay and training programs. I was there for 9 years"
"2098","- The company invests a lot in training. I came from a non-financial background, what was a bit scaring in the beginning, but they offered me enough training and support to grown in the company. 

- If you work hard and apply yourself your career can easily soar. Management roles are reachable if you dedicate time and network well.

- You learn a lot in a really short period of time, about different asset... classes and financial products. Training is intense but fruitful and you have the opportunity to specialize later. I have never seen a company investing so much in training and education before."
"2099","Fast-paced culture and top-rate technology, very high salaries. Remember, you're only here for the money and the resume boost."
"2100","Experiência global, ambiente totalmente aberto e amigável. Benefícios excelentes e salários acima da média. Aprendizado constante e investimento na carreira dos funcionários."
"2101","***important note to start with: be very cautious with good reviews about the analytics department. Many of them are either written by the senior management or by employees who were asked by senior management to write a positive one as there are too many negative ones here.***

Your colleagues are great. You can find great friends here that you'll stay in contact with even after you leave.
 
You get a lot of... training, even though a lot of it is just Bloomberg related and useless on the outside world. 

There is free food, but they use it to encourage you to stay longer in the office. Breakfast every day from 7am and dinner at 8pm on Tuesday and Wednesday? Who are we kidding here?"
"2102","Company strong, good culture, collaboration is great, office environment is great"
"2103","smart people, good product, lot's of customers"
"2104","Amazing benefits, you're felt like you're valued and should be proud to work there"
"2105","Excellent environment.  Bloomberg LP is a technology company first, their talent level is amazing."
"2106","Excellent medical, good 401k, free snacks"
"2107","If you can avoid to become an Advanced Specialist and have a European language you should be able to move outside Analytics in around a year.  Things are much better in other departments...."
"2108","cool company
ppl are friendly
the environment is good
good benefits
long annual leave"
"2109","I'm doing you a favour by writing this. I should have listened to the bad reviews, but instead ignored them and ended up leaving the company within less than a year because I didn't want to be pigeon holed in this company and found another job elsewhere.

Here's my honest review: 

- Nice and friendly colleagues.
- You end work on time every day.
- Pantry (especially breakfast).
- No stress environment.
- Highly... paid for the hours and work you do here.
- A lot of events (with more free food) and paid-for sports outside of the office.
- Work-life balance.

Conclusion: if you want a work life balance and a high starting salary without any career aspirations, come!"
"2110","Great company culture, co workers and benefits are excellent. Free snacks"
"2111","Great Job Benefits and perks. Beautiful Office."
"2112","Snacks, generous health benefits, 401k match is good"
"2113","Free food
Good benefits
Lovely office
Good people"
"2114","Good benefits Easy-going people"
"2115","Benefits for long term progression. Great pension and health care packages. Nice big offices with great facilities. You can developer your career here"
"2116","excellente rémunération, cadre de travail exceptionnel (design, aquariums, décoration...) lunchs gratuits, bonne prise en charge lors des voyages"
"2117","free breakfast, decent benefits and perks"
"2118","Pay is pretty good, coworkers are pretty good."
"2119","Work life balance good, especially if your good at your job more by working at home."
"2120","There are no salary bands when it comes to position and the organization is quite flat. It really is up to the employee to make the most of their position."
"2121","Lots of learning opportunity.
Good place to discover the breadth of the financial industry."
"2122","1) people
2) networking opportunities
3) working for a self-made billionaire who knows the working class population"
"2123","The digs are just fine."
"2124","People, training, travel, exposure, benefits"
"2125","It was amazing, culture, technology, responsibilities, manager"
"2126","Spent 7 years at the company 
Really love the good people around 
Good Benefits (holiday, healthcare, pantry) 
Management will reward if you deliver great performance 
5 stars hotel on business travel 
Less stress 
Stable job"
"2127","(Your experience will GREATLY differ depending on what team you join. The following only applies to my particular experience in a particular team.)

Company-wide:
* Relaxed environment.
* Free food.
* Nice office.
* Good benefits.
* Paid volunteering opportunities.
* Free/discounted tickets for cool events.
* Good culture.
* People are generally nice and there are many talented employees that you can talk... to for advice/discussion.
* Salary is slightly lower than other similar companies.

Team specific:
* Chance to experiment with new technologies.
* Open to feedback/new ideas.
* Decent workflow compared to many other teams, less legacy technologies. If you decide to join Bloomberg do yourself a favour and choose a team that isn't stuck with development practices and technologies from 20 years ago."
"2128","Smart people, great work life balance, great salary and awesome perks."
"2129","Great talented people to work with and extremely hardworking"
"2130","I know well with the engineering department; not too familiar with other departments.
- One of the most prestigious names in the financial industry.
- A rich number of opportunities to get experience in multiple areas in finance.
- As in New York, Bloomberg pays well for entry/mid-level employees.
- One of the best benefit plans in New York.
- Offices are really nice (fish tanks, free food).
- Great work/life... balance in some teams."
"2131","Fun, fast paced environment. Give you a great introduction to corporate life. Good social scene, summer party and charity work at Christmas time."
"2132","Advancement opportunities if you're a go-getter, amazing benefits. Spent 7 years there and I loved most of it."
"2133","-takes care of it's employees
-good benefits
-matching 401k 
-annual company picnic 
-peers are fun to work with"
"2134","Good place to start career in financial industry, good training, employee benefit and travel opportunities. Mobility and movement within different role is high if you work in big office."
"2135","It has a very good culture and my company that is Rated 3rd Best for Engineering and IT Staffing can help Bloomberg bring in the Nations top Talent at some very good pricing and fees!!! We are also #1 for overall best customer service experience!!  We get get any of your Technology roles filled pretty fast in a timely manner. I know Bloomberg very well when I worked there for 6 years"
"2136","Great environment. Brings out the best in you"
"2137","Great people and management structure at the top.  The Bloomberg for Enterprise team was an extremely exciting area to be part of, and I am sure that will continue to be a rewarding place to work.  Challenging and diverse work.  There is a lot more flexibility and willingness to implement change in a dynamic manner than at other big organisations.

Profit apparently goes directly to charity, and employees are... encouraged to volunteer for a variety of charitable initiatives.  It is very rewarding.

Amazing summer parties."
"2138","Free tea, coffee, soft drinks and snacks.
Good benefits package including health and dental care, travel insurance, death in service."
"2139","Intelligent People, Top Technology, Great freedom"
"2140","Great benefits, good people, good environment"
"2141","Great benefits, good pay, free snacks on several floors, good coworkers. Ability to change career paths within the same company."
"2142","Ambiente dinämico, é uma pioneira no serviço que oferece. A empresa conta com muitos especialistas, que entendem muito do que fazem. Temos comida a vontade e uma interação global muito forte. Todos saem no horário."
"2143","great place
great benefits
flexible to your needs"
"2144","If you like technology and financial market, Bloomberg is the best place to be. Great people and products, excellent company culture and values, very good benefits and perks (especially if you are in traveling sales team)."
"2145","Great company culture, overall pleasant staff, lots of young people working hard, great study environment, easy to work on the skills that you'd like to acquire"
"2146","- Interessantes und vielfältiges Produkt
- Gute Unterstützung bei Fortbildungsinteresse und interne Angebote
- Anständige  Arbeitnehmerperks
- Anständige Zahlung in Front Office/Vertriebs Rollen.
- Gute Konditionen bei Geschäftsreisen"
"2147","Great at keeping up with the latest technologies. Talented, ambitious engineers who work extremely hard. Very generous compensation and benefits.  For example, an entry-level software engineer hired by Bloomberg LP in New York City  in 2017 could expect to receive 140K base salary + 50percent 401(k) matching + signing bonus + performance bonus.  It doesn't take a math genius to see that an entry-level software... engineer's salary is stratospheric at Bloomberg LP."
"2148","Great benefits and compensation is okay"
"2149","Great energy, great commitment to employees and incredible learning abilities."
"2150","Fantastic benefits, a core fully grounded in philanthropy and community development, a truly challenging work environment"
"2151","Dynamic, fast-moving company culture, international breadth, opportunities to grow, training programs, competitive salaries, beautiful offices, snacks!"
"2152","The people are amazing, insightful, and friendly."
"2153","The people I worked with are still some of my closest friends to this day. The benefits are amazing as well...can't get better medical anywhere."
"2154","Health care, 401k, pantry, summer party"
"2155","Tremendous opportunities to excel. Casual and collegial  environment, but serious hard-working, motivated people."
"2156","Good Salaries, great benefits, opportunity to move internally"
"2157","Great co-workers and great environment"
"2158","Free food, benfits and big company name"
"2159","Used to be very inspiring and motivating, some of this is still left when someone new joins in spite of the strict long hours. Free food, summer party, nice offices"
"2160","Great benefits, good pay, free snacks on several floors, good coworkers. Ability to change career paths within the same company."
"2161","salary, training program, great colleagues, fast-faced"
"2162","They pay well - but expect their pound of flesh for it. It's a great environment for team work and writing discipline."
"2163","Nice people. Get off work early, but every second counts during the working hours. BBG invests a lot in training. A time I would truly miss. Overall great for fresh grads"
"2164","Pantry
Summer Party
Quiet Rooms
401K Benefits
Great on you resume
Met and made a lot of good friends"
"2165","Great communication with clients from an early stage , wonderful colleagues , extensive training on financial asset classes , development of soft skills"
"2166","Great benefits, fun company parties and great people"
"2167","Office is in midtown, expense account, travel, good people"
"2168","ability to learn 
good benefits health care fully paid"
"2169","good benefits, easy to move within the company, generally supportive environment (study grant, relocation etc)"
"2170","Food
Benefits
Open office area
Strong sense of belonging"
"2171","Some inspirational people and a fantastic office, benefits package."
"2172","snacks, meritocracia, um bom ambiente pra trabalhar, possibilidade de tomar riscos e participar ativamente de projetos. uma empresa onde todos os processos realmente funcionam."
"2173","Transparent, flat culture; stretch opportunities; interesting projects"
"2174","Competitive salary, global presence, possibility of working in another country"
"2175","Very good pantry and fish tanks"
"2176","The place o be, great opportunities, great people"
"2177","good title and good connection"
"2178","depending on team, most team have good life work balance, decent pay"
"2179","If you want to learn about finance without being on the buy or sell side, start here"
"2180","Stable company that you can grow with"
"2181","Nothing good about this role."
"2182","Good salary, Stable job, Good location, Great benefits, Professional environment, Free trainings"
"2183","Pantry
Health Care
Nice team mates
Pays the bills while you're looking for a real career path"
"2184","nice team
learning curve 
bureaucracy"
"2185","It was a great company to work for"
"2186","Good hours, good pay in the industry, good benefits. In general market leader. Very good culture. Diverse and international. Good office and location."
"2187","nice environment,great colleagues,free lunch,good work ethics"
"2188","Company values 
Client exposure
Career growth
Results driven"
"2189","Very good benefit and compensation"
"2190","- Multi-cultural coworkers and working environment including day-to-day video meeting with other offices overseas
- Great work life balance and benefit
- Appropriate place for somebody with keen interest in finance and technology"
"2191","Benefits are amazing, 401k match, great work culture"
"2192","Good company good benefits good prospects"
"2193","great experience learning at a major news org"
"2194","Honestly loved working there! Great team, great perks."
"2195","I really enjoyed the benefits and the growth opportunities that company provided. Great job where you get a great appreciation for your skills and time spent. And first of all - the people. There are some great teams there. We were like a family together. We were not looking at each other like a competitors, but like friends. You always get the help you need and you are happy to provide help to others to help them... grow and improve. Completely recommended as a first employer - you would get a lot of support and valuable skills."
"2196","Bloomberg LP is a great place to launch your career, tons of continuous learning opportunities."
"2197","Very dynamic, fast paced and challenging environment.  Supportive management focused on your development and truly champions Diversity & Inclusion."
"2198","Incredible working place! Recommended it to everyone!"
"2199","Great place to learn how to run a successful business."
"2200","Good culture and environment. Nice people"
"2201","Great atmosphere in the company."
"2202","Chance to meet C suite and  financial experts and opportunity to sell fabulous product."
"2203","Good perks when it comes to travelling
Great people to work with"
"2204","Great pool of talent. Id say the employees are the biggest asset."
"2205","Ambiente dinâmico, amistoso, muito incentivo a treinamentos, tecnologia de vanguarda, oportunidade de viagens e relocação, compensação por mérito."
"2206","Easygoing environment. The job is really what you make of it, it can be totally stress-free or very challenging depending on your goals. It is easy to get complacent"
"2207","Great benefits and work life balance. All ages, so you have experienced and young working together. Impressive training programs. Great exposure to all sorts of areas in the financial industry."
"2208","Work life super balance
Excellent colleagues"
"2209","Great kitchen and snacks"
"2210","-Very good compensation with end of year cash bonus
-Good vacation policy and medical benefits
-Great snacks and coffee situation, free soup for lunch
-Global organization with recognizable brand name and stranglehold on some workflows within the financial industry
-Energetic common areas of the main NY office, generally interesting and smart workforce
-Very well respected CEO (ex mayor Mike Bloomberg) with a... good and charitable moral compass 
-Fun summer picnic"
"2211","Great benefits, amazing teams and people, comfortable pay"
"2212","Great benefit great tech exposure"
"2213","Got in as a data analyst straight out of college; lots of peers with the same experiences, good work-life balance"
"2214","Friendly easy going collaborative product oriented"
"2215","Gives great work life balance"
"2216","Great health benefit in NY and NJ office. NJ office privides meals in the cafeteria. Starting vacation days is 20 days for first 10 years."
"2217","Good work atmosphere but not worth it"
"2218","* You will find with smart people on regular basis
* Good exposure to the actual financial industry if you position yourself correctly - which is good if that is where you want to continue your career
* Good networking opportunities
* Good perks & benefits
* Good place to start or finish your career"
"2219","-great company culture and great people
-interesting work and easy to move across teams
-travel opportunities
-flat hierarchy 
-can be your own boss within certain limits"
"2220","There are many opportunities here and you work with a fast growing time."
"2221","You can't get fired easily"
"2222","Outstanding benefits, including 100% employer-paid health care, a fantastic 401(k), and an amazing company culture. And Mr. Bloomberg, the former mayor of New York City, is an honorable, accessible man who leads by example."
"2223","Great Staff, Helpful HR, Process explained well"
"2224","Amazing group of co-workers, great atmosphere"
"2225","Great benefits, nice office, opportunities to move around to different departments."
"2226","The snacks pantry, the building and other departments.. 
None, because you pay for your benefits. £40 for private doctor.  Lunch: never had the chance to have one, very limited."
"2227","There are too many pros at Bloomberg to name (depending on if you like the same things that I do
- Open office plan: get to converse easily with managers, jump on board interesting projects, and provide insight when you overhear conversations where people are confused
- Global workforce and global opportunities: Large projects can have you working with people on all 6 inhabited continents, flying there to do... business, or transferring to a different country on an exchange program
- Technology, Money, and News: Bloomberg is racing other companies to define the future of finance, and the media industry. These are daunting tasks but can be exciting, especially given the companies heft and ability to make waves
- Great benefits: Medical, Vacation, etc
- Summer Party: Need to experience it to understand"
"2228","Junior level staff are usually friendly"
"2229","Good salary, excellent offices and facilities, free food"
"2230","Phenomenal product, great training for staff. Great people to work with within Sales.  Great place to START your career."
"2231","Great perks, good work culture. Truly transparent. Benefits are unmatched elsewhere. Free breakfast, lunch, dinner. Great 401k match, $0 out of pocket on dental, medical, vision. Flexible time off,  can carry over 5 days, unlimited work from home and sick days."
"2232","Great learning ground for people out of college."
"2233","great place to work at"
"2234","Great people, nice office, ok pay"
"2235","You'll succeed at Bloomberg if you work hard, pay attention, have high ethical standards. Editorial is fun as you're working with some of the best talent around and you get to try new things. The perks and benefits are amazing: not just the famously free food, but the annual summer parties, insurance plans, retirement match, museum memberships."
"2236","-Generous compensation
-Amazing Benefits
-Friendly, collegial culture"
"2237","Great and Comprehensive Training Program"
"2238","1)Mike Bloomberg is a great man who has built a great business (ie the terminal). It's clear he cares about the company, employees and customers.
2) If you are bold, hard-working and politically savvy, you can move up the ladder faster than at most media organizations.
3) If you have the skills above, learn  the terminal, are photogenic and have reporting chops, you can be a star.
4) Bloomberg TV looks good on... your resume. Especially if you want to progress to CNBC, Fox Business or another business network with Nielsen ratings"
"2239","Fast-paced work, nice offices with free food and interesting coworkers. You are never bored working at Bloomberg. Benefits are excellent, including maternity leave."
"2240","Los integrantes y líderes de la organización tienen altas capacidades que comparten con todos los demás colaboradores. Aprendes mucho del ambiente laboral."
"2241","Amazing office standard, free snacks, health insurance package, travel insurance, dental plan, diversity, flexibility and good opportunities around the globe."
"2242","The Insight day was truly helpful."
"2243","Great culture, nice pantry and benefits"
"2244","Great Benefits, colleagues, and location"
"2245","Good Pay, Intense training, lots of freedom"
"2246","good opportunities,  great training,"
"2247","Great benefits, pantry and a good way to get an insight into the finance industry"
"2248","Great People
Great Company, innovative products, market leader
Amazing company culture (free food, many events, stunning offices)"
"2249","Good salary Friendly team Nice building Benefits Stimulating"
"2250","great place to work in bloomberg"
"2251","BLoomberg does everything they can to make employees happy and employees can move across teams and also be vocal about their frustration. There is no much a hierarchy and you have the liberty to pursue your ideas."
"2252","Exciting environment. Very competitive, ambitious colleagues."
"2253","conducive environment to learn and get experience & connection"
"2254","Nice office, nice colleagues, food"
"2255","Challenging and rewarding job. Global Company."
"2256","Good place to work especially for fresh grad
great insurance and benefits
lots of different opportunities"
"2257","Bloomberg has the best people and culture!"
"2258","Great place to work, lot's of room for improvement, great people."
"2259","Smart People, Plenty of Money, Clout."
"2260","Amazing office standard, free snacks, health insurance package, travel insurance, dental plan, diversity, flexibility and good opportunities around the globe."
"2261","*good experience for entry level journalists"
"2262","-Michael Bloomberg 
-good PTO
-Philanthropy opportunities 
-free healthcare
-snacks"
"2263","A lot of perks and benefits"
"2264","Nice panty with free food"
"2265","Very collaborative, people are helpful and friendly and generally open to teach, allow you to shadow and learn which is beneficial for entry-level roles."
"2266","Free food, pays good, and nice perks."
"2267","Coworkers are great, team leaders are great as well."
"2268","The pantry is decently sized"
"2269","Free drink & food at canteen. Many opportunities for free events. Salary is competitive compared to others. New technologies are there to try."
"2270","The company is very developer driven.
You quickly take ownership of systems and have heavy influence in their design. 
Compensation and benefits are impossible to beat. 
Biggest tech firm HQ'd in NYC. Way better than SF, in my opinion.
The last few years, huge push towards open source technologies."
"2271","Open atmosphere, free breakfast, lunch and dinner!"
"2272","If you miss 80s (and I don't mean the music, but processes, culture, and technology), Bloomberg is the company for you. If you miss 90s, wait a bit, they are getting there, come in a decade or two.
To get a good understanding of what to expect, listen carefully about the company's culture, but remember that in 80s those words must have meant something different:
""Flexibility"" means ""Manage your time yourself as... long as your manager can constantly see you"".
""Flat structure"" means ""open space"" or maybe ""flat vertical structure"".
""Hard-working"" means ""Keep yourself busy till late"".
""Agile"" means ""Micromanagement"".
""Innovation"" means ""NIH syndrome"".
""Risk-taking"" means ""If you screw up just this much ..."".
""Be bold"" means ""We've no idea what that means, but they mention it in every book""."
"2273","Wide exposure to many different facets of financial markets and thoughtful training programs"
"2274","Nice offices, friendly colleagues, free snacks."
"2275","This is a great company which cares a lot of its own employees in terms of continuing education and mentorship. The compensation is good and there are a lot of tech communities within the company allowing you to do things outside of your functional area."
"2276","Nice Working environment and freedom for work"
"2277","The pay is pretty good and you get free food.  Also the philanthropy program is very generous and you get free tickets to events and galleries.

Plus when you resign, you get walked out the door the same day - gardening leave."
"2278","Great company to work for"
"2279","- New London office is very nice
- Good management: My team lead, manager, manager^2, and manager^3 are all excellent. They're enthusiastic, know the product and have programming backgrounds. I'm confident about the direction they're leading my team in and the work we're doing, and they're invested in cleaning up the tech debt created by previous management. They also know and care about the team, each of them... knowing me, my skills, shortcomings and desires. My team lead especially has pushed to give me opportunities to advance and have a greater positive impact at Bloomberg.
- Good compensation"
"2280","If you are in a division with effective leadership then expect an engaging dynamic invigorating experience.   Developers are at the top of the technologist pecking order, which is great of you are categorized as a developer."
"2281","Everyone is passionate about the company/product"
"2282","Benefits, top level training on markets"
"2283","Great working environment. Agile Project management. Great benefits, free health insurance. Great pantry."
"2284","Solid company with cutting edge technology"
"2285","The pantry is pretty awesome."
"2286","good training and career opportunities"
"2287","There are not pros in this company."
"2288","Great place to work and grow"
"2289","good work life balance and very friendly and smart co-workers."
"2290","Bloomberg is a fantastic place to work - I learned a lot, worked with amazing people, and built products that I was proud of."
"2291","Great benefits and flexible schedule. Global presence and client base"
"2292","Incredible internship! The people are great and they provide dozens of opportunities to get to know the company more."
"2293","- Full Pantry at all times
- Laid back feel, while still challenging
- Committed to volunteering and giving back
- Hundreds of offices around the work to work at
- Few vertical management layers. They encourage communication."
"2294","Open and Flat Organisation with nicest colleagues and managers to work with. 
Flexible but process oriented environment
No work pressure
Promotes career growth to relocating to a different country
Company is open to ideas and welcomes all ideas big or small
The Data department has the nicest teammates 
nicest office environment, pantry and fish tanks"
"2295","I have worked here for 7 years and am always happy with my work."
"2296","Fancy Pantry, Multinational, Care about People"
"2297","*Programmers can be smart
*OK chance of getting paid well
*Nice guest speakers
*20 days off
*Good geek war stories after you fix something at 2AM in the ancient codebase. 
*For many groups, no need for an awkward ""lame duck"" period when you quit. You'll be fired immediately and escorted out by security."
"2298","Good perks, as far as journalism is concerned, and better than average pay"
"2299","great work life balance
if you want to cruise, you could
great benefits
nice people
some interesting problems"
"2300","Good First Job out of college."
"2301","Great salary, benefits, office and they are happy to provide the proper resources to do get the job done."
"2302","great company that cares for people"
"2303","Work/ private life balance is good"
"2304","Training is second to none , like getting an mba"
"2305","Talented, humble and hardworking reporters and editors, ability to break news everywhere on every platform"
"2306","The company places huge stress on employee satisfaction. In addition, the founder has promised to use his wealth for philanthropy and we get plenty opportunities to participate in volunteer activities."
"2307","+great benefits
+ friendly colleagues
+free pantry
+forward-thinking
+innovative"
"2308","Good work life balance. Work with smart, driven individual."
"2309","Great focus on customers, really smart colleagues, commitment to excellence, wonderful benefits"
"2310","Great employer, very good benefits"
"2311","Fantastic office and atmosphere; bright and curious colleagues; amazing philanthropy opportunities and an inspirational leader."
"2312","Pays well, meritocratic, opportunities for travel and relocation."
"2313","Open floor plan with no separate cabins for senior managers brings in a culture of openness. A good place to learn in a fast-paced client-driven environment."
"2314","Benefits, hours, good base, office is nice"
"2315","- Nice pantry
- Nice picnic
- Basic software training
- Basic finance training
- Best finance software company"
"2316","Dynamic and collaborative corporate culture, great people at the company. Inspiring CEO."
"2317","Innovative Environment
Collaboration highly encouraged
Fast Paced 
Senior and Mid-level management does a good job of keeping employees informed of changes and company-impacting issues
Great fusion of tech, news/media, corporate, finance all in one 
Overall, managers care about their employees"
"2318","8-5 is strictly observed
Great education & training opportunities
Ability to develop multi-asset knowledge"
"2319","Tengo la libreta de horario, el sueldo es competitivo ha diferencia de otros lugares, el ambiente es muy bonito también el lugar de trabajo es cómodo"
"2320","Offers the best salaries compared to other news agencies or newspapers. Only TV stars make more than a typical Bloomberg journalist"
"2321","Progressive company that provides ample opportunity if your manager allows for it"
"2322","smart, intellectual,  fast-paced, demanding environment."
"2323","The Engineering staff is top of the line. Company provides competitive benefits."
"2324","Company culture is very open and innovative. Very good employee benefits, company insurance is well-covered."
"2325","Very good training for non-CS background"
"2326","Good 401k matching
Good Insurance Coverage
Plenty of snacks and drinks within the building"
"2327","Great colleagues, huge impact, complex problems. Nice office."
"2328","good pay
nice office
great colleagues"
"2329","+ Great Culture. Performance is all that matters to achieve your goals.
+ Great Benefits"
"2330","Lots of good people work here. Better than average pay at an organization that is very stable by journalism standards. Good perks."
"2331","Meritocracy. Take good care of its employees"
"2332","Excellent collaborative place to work"
"2333","Nice pay and the food is free"
"2334","pantry with fruit and snacks, employer-paid health insurance, 50% 401k match"
"2335","Good hours, salary is competitive but not great."
"2336","Very rich company with many resources and time"
"2337","- Great culture
- Constant learning
- The pantry!
- Benefits
- Volunteering
- Very considering during business travel"
"2338","lots of learning on the job"
"2339","-donates over 90% of profits to charity => creates a friendly, altruistic culture
-strong initiatives in the diversity and inclusion space; safe space for marginalized groups
-great leadership; I've been well groomed in my role for success"
"2340","Progressive company that provides ample opportunity if your manager allows for it"
"2341","Stability and safety of the job"
"2342","good colleagues, good pay, good breakfast, market leader in its area. opportunities to work almost anywhere in the world (if you're viewed favorably by management). profits go to charity."
"2343","Bloomberg Tradebook had a chance to shine under Mifid but sadly that was not the route taken by senior Bloomberg management"
"2344","Reasonable salary and good company benefits, large company has funds invest in training. Encourage role changes in teams. Bloomberg functionality is useful in job market"
"2345","Good work life balance, new HQ in london, free snacks."
"2346","Good career progression.
Great Benefits."
"2347","Great Benefits; Salary is more than fair; Exciting atmosphere; Appreciates innovation and efficiency"
