answer_re,answer_re_n
diverse work force it could be a great place to work with some adjustments,"great, work, place"
A good place to start,place
Truely international! Many opportunities given at junior levels to grow and travel to various locations meeting finance people fromvarious institutions,people
"nice working environment, open, transparent, fast-paced. opportunity to access bloomberg terminal and also the daily usage with it",working
#NAME?,"environment, work, people, compensation"
"Fast Paced environment, Great execution of plans",
Good procedures to bring new employee on board. Good technical help. Good service considering alpha/beta/prod deployments. Well-defined programming framework.,
"The people and flexible corporate culture, opportunity for travel, spirit of employee, philanthropy policy","flexible, people"
"It was a place full of smart colleagues, great resources and terrific access. The pay was good and the benefits were comprehensive.","benefits, pay, smart, place, great"
Lots of room for professional growth. The company is growing a lot which allows room for promotions and possible pay raises.,"company, pay"
"Transparency, good employee services, employee care, good pay, flat structure company",company
Benefits package one of the best in the industry,
Free food and the fish tanks,food
it is a very open and supportive environment with a lot of resources. they value and treat their workers really well and there is free food!,"environment, free"
Positive environment through interaction with mostly motivated staff and clients from the financial sector. Training was systematic and comprehensive. Good exposure to service C-level executives.,environment
"Great benefits: good K plan (most of my plan recovered the market crash as of the end of ) with a good match. weeks of vacation even for junior employees, unlimited sick days (theoretically, depends on your relationship with the manager and if he trusts you and how good you are with the ""system"" (bring doctor notes when in doubt ). Relatively good dental, vision and medical plans, but medical plan got... worse over the years (larger copays, etc, but it's a country-wide issue).",
"Great company, useful experience and amazing training program.",
"Challenging projects, relatively young work force.",work
#NAME?,"snacks, work, smart, people"
"Swanky office, commitment to the city, location, ease of moving within the company, client facing",
"Swanky office, commitment to the city, location, ease of moving within the company, client facing",
#NAME?,salary
Great place. Fast pace open culture.,
"Great benefits, great workplace, lots of interesting people around all the time, free food, livery cab or free parking across the street for folks working late or early shift folks, excellent commuting location, very nice annual company picnic. Good place to work if it's your first job out of college, or if you want to move up in the world a little bit. Extremely good and efficient workflow management through the... company's organic ticketing system makes documentation and milestone tracking a breeze, and greatly improves teamwork.","people, work, place, free, working, management, great, company"
Good working environment and colleagues. The office itself is quite nice and a big kitchen with all sorts of snacks.,"environment, working"
The benefits are good. The health insurance plan is generous. There are other perks related to fitness plans and transportation.,"insurance, benefits, health"
wonderful working environment nice pay,"environment, pay, working"
Awesome benefit offerings and company culture,"company, culture"
"Efficient working environment, no bureaucratic, cutting edge technology. Good benefit and incentive for good performance. Different group work together nicely on project.","edge, work, cutting, working"
"If you need to break into new areas, there may be opportunities here, if you can find management sponsorship, but that will be challenging.",management
"Good Perks, Funky Offices, International Environment, Young Colleagues, Decent Pay. A great place to start your career, but it becomes very repetitive after a while. Also, your initial salary is key - it won't increase much after that.","great, salary, place"
Fantastic opportunity to learn about the markets and the Bloomberg products Great chance to develop unique selling skills Opportunities for promotion,
"Like I said, riding the wave.",
"bright people, efficient communication. free snack",free
Great facilities. Great working conditions overall. Lots of freebies and possibility to get training on a lot of products.,working
Provides very good training across market sectors,
Excellent Brand Name Employee friendly work culture,"work, culture, friendly"
#NAME?,"great, work, place"
It really is a great company with great perks. the snack bar pay,"great, company, pay"
Well known international Financial news company,company
"Food is great , location and building is very good pay is ok there are some real bright people at developer levels","great, people, pay"
"Primarily a technology company with a passion for innovation and fast-paced time to market. Values meritocracy. Great perks like health benefits, free food, drinks, tuition reimbursements etc.","free, health, company"
Transparency is at every level. Huge set of intelligent people to work with.People are supportive and collaborative in nature,"work, people"
"Great environment, such smart people to work around. You always learn something new when you are working and everything around you is amazing","work, smart, people, working"
"The benefits are really good and the compensation is very competitive. The office conditions are some of the best I've ever seen and, financially speaking, the company is very stable, even in times of economic hardship.","benefits, company, compensation"
Fifty percent match on k benefit. Fully paid medical insurance. Free snacks in the pantry area. Access to financial data.,snacks
"AT bloomberg there is good benefits and good salary, and the flexibility to manage your own projects however you want.",benefits
free food free food free food,"free, food"
"The Location (New York, NY). Free snacks and fruits at the pantry. Perceived brand value in the job market. Networking with other people. The finance courses (most of them taught by Stuart Veale).",snacks
good job title for resume free food,"free, food"
standard comp package no dress code,
"Bloomberg LP clients are the most important people at Bloomberg LP, without exception. Implements industry standard best practices and more. Various benefits as mentioned in many other reviews.","benefits, people"
"There are several opportunities for growth at this company. It is a very collaborative work enviromnent, very dynamic, with opportunities to continue challenging yourself professionaly.",work
"Compensation and benefits are reasonable if not the best in the industry Growth opportunities Good benefits such as vacation days, medical insurance, etc",benefits
"Good pay. Interesting Technologies, the company does spend good money on tech, and get the latest and greatest. Some good people are still there","company, people"
"Non work related: the pay is pretty good, the building is fancy, they have free drinks + snacks. There are a lot of outside of work activities that are not only offered but also strongly encouraged, such as donations, food/backpack drives, gardening, etc. Also, there are lots of free tickets given out to cool events in the city that you would otherwise never have access to. Work related: you get to work on projects... that affect a lot of people, and depending which group you land into you may love the work you do. The management is less ""flat"" than what I was told it was like when I joined (early ), but there are definitely fewer hierarchical barriers than at most other places.","free, management, work, pay"
"Pay and benefits top notch, bonus very good compared to a lot software jobs. The building is amazing. Snacks are ok (but they get you fat). Free entry into NY museums and cultural events. A lot of very smart people, and the work will definitely keep you busy. You get code into production fast compared to many software jobs, where the turn around on a project might be months to years. At Bloomberg projects... many projects last weeks.","work, smart, fast, benefits"
The salary is competitive. The environment is very open and transparent. The company still grows like a startup. Very good HR policies. Flexible work hours possible. Promotion from within.,"work, hours, salary, environment, company"
"The compensation and benefits for experienced hires at Bloomberg are very good. As a new employee you get four weeks of vacation. Bonuses are solid since the company has always been profitable. People are smart and there is a push to get things done quickly. There are many financial courses available for you to take after work, free of charge, so you can learn about financial instruments. The environment is... fun to work in because it's modern, lively and dynamic. The stunning, modern building could be part of a movie set. There are lots of opportunities to volunteer with your colleagues at group events and the pantry is always stocked with free food and drinks. Since the Bloomberg terminal is used throughout the financial community, you may have opportunities to connect with people at other financial companies. Bloomberg, as a company, is well regarded in the financial community.","benefits, people, compensation, work, smart, food, free, environment, company"
Lots of training Good name to have on CV exposure to financial markets free food decent benefits not too stressfull,"free, benefits, food"
"salary and job location were the two major reasons . Other reasons include the general stuffs ielike pantry food , easy commute facilities , Working environment is fun","environment, salary, food"
#NAME?,pay
"Decent compensation. Many interesting perks like free admission to museums, annual picnic. The company culture is on the lay-back side as a financial company. This should be an ideal ""last job"" of anyone.","free, company, culture"
"Good working environment, friendly colleagues","friendly, working"
to get experience in electronic trading,
Worked from ~. Highly technological company. Efficient HR dept. Compensation is a little below the market. But not as much pressure as Wall St firms. No long hours and full benefits. And free employee kichen! :),"free, pressure, hours"
Bloomberg is a great place to work if you're just starting out in an entry level position. Broad exposure to multiple different facets of the financial and media worlds. Excellent opportunity to explore new fields with plenty of options for lateral movement to new departments. Enough free food that a little creativity can mean not having to buy lunch. The offices are AMAZING and very centrally located. Young... atmosphere which is a pro or con depending on how you look at it. Amazing summer party.,"options, work, food, place, free, great"
"Great benefits, you get to live in nyc, good training program, good place for people who intend to work as a programmer for a few years only before switching careers to management/finance track...","work, place, people"
"nice perks and snacks. friendly securities. actually, they are the most friendly people in BB.","people, friendly"
"Good for engineers with no prior financial background, company provides good training. Many groups, if you are lucky, you will join a good one.",company
"Good for engineers with no prior financial background, company provides good training. Many groups, if you are lucky, you will join a good one.",company
"Great place for recent graduates. Great introduction to the financial markets and exposure to market players. Young, vibrant atmosphere. Excellent benefits package.","benefits, place"
"Working with cutting edge technology, plenty of opportunities to learn more about finance, company is growing certain departments (news, video). Live up to their horizontal structure claims (easy access to management).","cutting, edge, company"
decent pay decent group of people,"people, pay"
"Good Pay, Good Benefits, free food, classes for employee development, philanthropy",free
"good training programme, free food. good opportunity to make contacts, male-female ratio is pretty good (on the female side), summer party is outstanding.",free
The benefits are some of the best I've seen.,benefits
Free Food. Good location in New York City.,
"good breakfast, fruits, vegetables, snacks. decent pay compared to other financial firms in NYC. nothing else i cud think of",pay
"Nice colleagues, they usually hire the nicest people they can get, which makes the environment bearable Canteen is ""OK"", with loads of different options ( % very fatty, thou ) Good exposure to the financial market","environment, options, people"
"People, technology, free food, work environment","free, work, environment"
"Fun, lively atmosphere. Broad range of interesting topics covered day to day. Never bored.",
Kind of decent place to work. Beautiful building,place
"Learn a lot, huge exposure to Financial world.",
"-The company has a phenomenal public image, you tell people ""I work for Bloomberg"" and you get a lot of ""ooh's"" and ""aah's"". -There are literally tons of extras -- free food and drink, financial market related training, cultural events, a summer party t","people, work, food, free, company"
free food nice people and friends good benefits,"free, benefits, food, people"
"Free food. Great benefits. Their platforms are a bit outdated, but you do get complete access to the bloomberg terminal. Good people to work with.","work, people"
"Great work ambiance and corporate culture Young and dynamic Great and continuous training provided Very multi cultural Fast moving environment Challenging and team working Traveling possibilities Great benefits Awesome working conditions (Bloomberg buildings, meeting rooms, kitchen with free food and drinks, etc...)","benefits, work, food, free, culture, working, environment"
"nice pantry, no dress code, nice public image.",
"Most of the people you work with are fun and friendly. A lot of going out. Nice continuation from college, but with pay.","work, people"
can have access to several different business areas easy to transfer between groups not very pushy in dating projects good place to learn critcial thinking,place
Nice environment. Every one knows each other even when working in various departments. The summer parties are wonderful. I made many new friends for life there. I would wake up everyday looking forward to going to work.,working
"pays well, stable, lots of potential -- in some alternate universe.",
"Free snacks, nice surroundings, friendly people.",friendly
"Great Benefits, Free Food, nice people to work with","work, people"
"Great firm. Opportunities abound for the hungry, motivated, inspired, and innovative individual. Great place to start a career and get into finance.",place
"Flat structure Opportunites for promotions Interesting combination of media, finance and technology",
One of the best financial data service providers. Lot to gain in terms of financial functional domain as its the leader.,
Great place for starting your career.You do get a lot od expsure and can have good networking.A good place to also expllore various opportunities as well,place
good to put on a cv good opportunities for entry level people nice free snacks and nice building good ambiance between the workers,"snacks, free, people"
good to put on a cv good opportunities for entry level people nice free snacks and nice building good ambiance between the workers,"snacks, free, people"
"Training program is really good and systematic, good vacation days, health benefit, some activities that can be signed up once a while",health
"Great place to advance, If you can B-S or kiss butt Abiliity to transfer between departments Lots of training offered",place
Excellent benefits Free food Posh work environment Four terminals at your workstation Central meeting place Screen showing the company's achievements and charity work,"benefits, work, place, food, environment"
"At its inception, Bloomberg LP hired employees which did not have colleague degrees. Company spends millions of $ on summer picnics worldwide",
You will be well compensated. Their benefits are the epitimy of the golden hand cuffs. Not to mention the other perks you get such as discount tickets to all types of events in NYC. They also offer free snacks. Their bonus structure is open so you know what to expect as a bonus.,"free, benefits"
"Great offices, good name to have on your resume, great training available if you are proactive an your manager allows",great
Excellent pay and benefits. The free soda and snacks are nice and the annual summer party is a treat. You do get free admission and/or discounts to a lot of good places!,"snacks, free, pay"
"Bloomberg has an open working environment. Hundreds of people seating together, your managers may seat right beside you. Free breakfast, free drinks and snacks. Beautiful fish tanks.","free, people, working"
"FREE FOOD, interesting technology infrastructure, beautiful work settings, name brand recognition, you may get some basic career guidance, did I mention excellent free meals?","free, work"
bloomberg offers free food a fairly competitive salary and good benefits. the art and decor of the building is inviting,"free, salary, food"
Friendly Enviorment No restrictions Free Food (Lots and Lots of Junk and Organic food) Better than industry kind of pay (Not top though),pay
good pay free food office location good,"free, food, pay"
Free Snacks Beautiful Infrastructure and Employee Base Acces to Bloomberg Terminal Competitive Benefits,
The company is quick-paced and has a start-up mentality. Bloomberg moves very quickly on business decisions. This company spends serious cash on making its offices and employees feel taken care of and is very green-conscious. Free snacks and continental breakfast are served daily.,"snacks, company"
Ok Pay and benefits Pretty slack job,benefits
"Free food all day long! Great benefits and a very fast-paced environment. Employees are given freedom and they have flexibility. Management is not in your face all the time but they expect you to come up with the goods. If ""they"" like you then you're set.","benefits, food"
great benefits - very comprehensive work place aesthetic is very nice; has a lot light and artwork lots of free snacks and bevearges,"snacks, benefits, work, place, free, great"
"Competitive pay Stable job in a recession Excellent benefits Great workplace - awesome building, amazing snacks, summer party and perks Very helpful and knowledgeable peers Software ownership - you own the product you develop Fast paced client facing software development","benefits, paced, pay"
"good name on your CV for afterwards, exposure to markets, large range of clients to work with, no need to stay overtime, management not very eloquent so a few polysyllabics will sort you out if you're lagging behind","work, management"
Decent Pay Benefits are good. Nice offices.,
"Nice office, good facilities and friendly people.",friendly
"* Good snacks * Compensation is okay, but that's not the only thing any good software developer expects in job. Also having good reviews only about the food and compensation for any software development company is shameful.","snacks, company, compensation, food"
"Free breakfast, lunch and dinner. Delicious gormet food. Excellent hours right around per week - get out at :pm",hours
"Great pay, very plush office environment, offices are always in great locations, nice perks like an all you can eat snack bar, chauffered car to drop you to and from work if you're scheduled at certain hours, attracts very intelligent people.","great, work"
Great pay Great benefits Smart talented people In-house snack services Beautiful work environment,"benefits, people, pay, work, talented, environment"
#NAME?,"snacks, pay"
"It's a ok place to work. They provided month trainings before you actually start, and you have free food.","free, place"
"great free food, nice fish, nice office. fairly good company culture as a whole. summer parties are amazing. provides good training. fairly flexible working hours. fairly good perks/benefits. software terminal is quite cool.","free, flexible, culture, working, great, company"
Great benefits Decent salaries Good people (non-managers),"benefits, people"
"Access to Bloomberg Terminal, fancy building (th floor)",
"Free chips and soda, if you work long hours and work for . persons man hours, you will get k bonus","work, hours"
"If you want a stable job and just want to spend everyday in the same tedious way, Bloomberg LP is the right place to go. They usually dont fire people, and the work there is just daily routine stuff that doesnt require any intelligence.","work, place"
"Excellent benefits plus some nice perks like an open Pantry, free admission to various museums, etc. Working a Bloomberg provides a broad exposure to the financial Industry, with a well run training program.","free, benefits"
Company is willing to invest in resources and training for its employees and offers great networking opportunities and access to the terminal and seminars.,great
"Good perks, opportunities to travel and meet all walks of life, good pay for those who have recenty graduated. Good training ground.",pay
Bloomberg is a very successful company. Pay is good. Software projects are often interesting and challenging. Coworkers are smart and helpful; they freely sharing knowledge and offer good advice.,smart
"Stability, great benefits, good work life balance, great building, cool culture- every is young and has a lot of energy. It's a fun, social environment","environment, work, great"
"-You will learn the markets and market players (concepts, roles, etc) -Human capital of various backgrounds/education/experience -Benefits package is very, very good -Brand name will not hurt your resume -Open culture/transparency(literally glass ",
Very good benefits offered by the company. The pantry with free food and drinks is a nice benefit to have. Hours are not bad.,"free, benefits, food"
Competitive environment to work in. Good exposure to financial background. Good for may be a few years. Experience gained is valuable.,"environment, work"
"Some coworkers are excellent people, but others are the most unreliable people ever.",people
Very Fast paced work environment. Lot of opportunities for learning low level programming. Open work environment.,"work, paced"
Good benefits such as medical insurance free snack and drink predictable working hours flexible work schedule (depending on which manager),"benefits, insurance, work, hours, free, flexible, working"
"Good healthy snacks, drinks and breakfast are provided. Clean, beautiful and comfortable office/ working environment. Fixed working hours - rarely have to work overtime. Don't really have to worry about work when going on leave as you pretty much finish what you have to do within the same day. (no backlogs) Lots of internal trainings provided with a wide range of subjects to choose from. Lots of party,... luncheons, dinners, drinks organised throughout a year, good opportunity to bond with colleagues. Very nice colleagues who are sincere, fun loving and very little office politics. The company is very supportive of philantrophic activities and recognizes employee's effort in community service.","work, company, working, hours"
"If you really like business journalism, this is a good place to work for you. Perhaps now that Bloomberg has taken over, it's a better environment than when I was there.","environment, work, place"
Nice office. People on my team are quite competent. Free snacks and drinks. Total compensation is pretty good. The company is rapidly growing recently. Good place to work for programmers.,"snacks, compensation, work, place, company"
great place to obtain licensing and gain experience and knowledge and about the markets. also provides huge opportunity to develop relationships within the investment community.,"great, place"
Great work-life balance Great work environment,"environment, work, balance"
"Strong group of quants, smart interesting people, interesting work, lots of room to learn new things (although not much time to do it). This is a great place to start.","great, smart, place"
Great work/life balance. Young workforce and environment. Great benefits. Snacks are free. Great amount of emphasis on training and education.,
There is a lot of opportunity for new grades to learn in Bloomberg. Start-up environment & fast development cycle. Specially useful for new grades.,"environment, fast"
"Free food, summer company party. Feels like a college environment, very young and youthful. Very cool building, lots of opportunity for growth and additional training.",company
Great atmosphere. Smart people. Free food :) Overall Bloomberg is a great place to work at. The company does very well even in hard times.,"work, food, place, great, company"
"Open communication, flexible work environment on the software development side. Great offices and very good perks. Very fair (good) compensation. Startup like approach to handling new projects.","environment, work, flexible"
Good quality of work if the function is a new one. Decent teammates Get to use Bloomberg terminal,work
One of the major pros is that you get to own projects (regardless of whether you are considered 'management'. That certainly makes things exciting,
"Great team culture within some of the smaller divisions. Also, lots of perks (including a summer party) and internal resources.",culture
"The company seems to take reasonably good care of you, with a good compensation package and benefits, and a bright lively working environment. There is a lot of expertise around to learn from if your objective is to develop an understanding of financial markets. The work is fast paced and you will seldom find yourself bogged down in your job. The ability to handle pressure, look at problems from a business... perspective is valued. Good kitchens.","paced, compensation, work, fast, working, company"
State of the art facilities and equipment. Responsiveness of HR department on personal issues is excellent. Benefit program is very good.,
State of the art facilities and equipment. Responsiveness of HR department on personal issues is excellent. Benefit program is very good.,
Work hours Social life free snacks A Fancy entry on the CV good flashy office fast paced projects nothing else,"snacks, paced, fast, hours, free"
The office is beautyful and you probably won't find much better anywhere else. People are also great and it's an excellent place to make new friends and meet people from all around the world. It's a not a bad place to start your career but don't stay too long!,"great, place, people"
I'm a senior software engineer at bloomberg and this review is my own + what I have heard from my colleagues and friends in other teams within this company. * Good compensation (only if you work hrs a day which won't be the case.. normal working hours are to here) * Smart and intelligent people * week paid vacation + medical benefit + free food,"people, compensation, work, food, hours, free, working, senior"
#NAME?,"smart, people"
Benefits are good and the buliding is clean and modernistic,
"The paychecks are good, the work is doable, and often fun and exciting. The food and snacks are in endless supply.","snacks, work, food"
#NAME?,"free, benefits, food"
The health and benefit package was very good (you don't pay for health insurance). The free food pantries was great but you gain alot of weight on it.,"pay, food, free, health, great"
"Fast paced challenging dynamic environment, opportunities to learn, good money, bonus, performance rewards, good growth path, job satisfaction, good location",paced
"Use of Bloomberg Terminal, Intellectual colleagues and improving excel skills",
#NAME?,"compensation, work, hours, working, environment, balance"
"Very talented employees, best and brightest sharing ideas and solving extremely challenging technical issues. Fast pace and opportuntiy to move into new groups if top performer.",talented
"- junior hires given good load of responsibilities - salary and bonuses are good - free snacks (better than microsoft, worse than google) - satisfied customers (having worked at other companies, the high level of customer satisfaction is abnormal an","snacks, salary, free"
"Decent pay, the opportunity to interact with various market players, some training opportunities, bright colleagues, good vacation time, cool office",
"Fantastic brand and market reputation. Dynamic company with deep pockets able to effect changes in personnel and product at short notice. Great office facilities, attractive work colleagues.","work, company"
Company name on the CV Some financial market training Nice and overquilified colleagues Young environment Newly designed office and tropical fish collection Free food and drinks Insurance benefits,"environment, benefits, food"
"good benefits, doesn't fire many people during crisis, resilient to financial downturns, useful training, great young environment, perfect place to meet new people","great, place, people"
Highly successful company/Possibility to communicate/interact with everything from CEO to others in top management. Friendly colleagues. Interesting product. nice summer party.,
"Constantly in touch with the market and different market players from both the buy and sell side, giving you a great insight into different aspects of the industry.",great
"Constantly in touch with the market and different market players from both the buy and sell side, giving you a great insight into different aspects of the industry.",great
"Compensation is decent, the company offers nice benefits, the building is impressive and great to show off to others, free snacks are a great perk","snacks, free, great, company"
"Great culture and very different from similar employers. Management is approachable, as everyone in the company. You could make a career internally, if you like it. Good exposure to the markets",culture
"Fairly good pay and benefits, but it would have to be in NYC weeks vacation Learning the Bloomberg terminal and APIs could help you find a good job someday",pay
"The pro is the people you get to work with. Clients make the work enjoyable and coworkers also. Like every other work place, there are good and bad managers.","work, people"
"There are some very smart and capable people that you can learn from. A lot of information is open and available if you know where to look. Snacks, summer parties, social events. Good benefits.","smart, people"
"A chance to work in New York City Looks good on your resume Meritocracy - so if you do the work, you get the rewards",work
Bloomberg is good for the first year junior hire. They hire a lots of fresh students every year and the pay is not bad.,pay
"The most meritocratic company I have ever worked with. Possibility for very rapid advancement based only on performance and not prior education etc Good food/drinks and summer parties, although less so with recent cost cutting. Attractive staff and office Lot of potential for learning",company
#NAME?,"work, company, management"
overall they offer a good salary + benefits package with pretty challenging work . you get to work with very smart colleagues so there is a lot you can learn . they also give you a lot of responsibility form the beginning,"work, smart, salary, benefits"
"acceptable compensation, which is the only reason why work at Bloomberg",work
"Most people are ready to help navigate the complex jungle that Bloomberg is. Perks are out of the world, they know how to look after employees.",people
"Compensation and benefits are good, brand is good.",benefits
Living stipend. flexible hours. Name of the firm on your resume. very set up and structured program if you desire clear career path and stability.,flexible
"Culture - no titles on business card, no offices, flat organization structure, high philanthropic interests, continuous opportunities for training, first hand access to breaking news",
"New York City. Great pay, and great benefits. weeks of vacation time. Exposure to more than just plain old software. Free food (somewhat). Some great people work there (as well as some not so great).","great, work, food, people"
Work Environment Access to technology Good contact with clients,
"Snacks, good time off, no fixed ill days, good training program, no formals wear required like some other companies,inception of new technology.",
"Benefits are among the best you will find anywhere. They have just finished watering bonuses down to average levels, however.",
"Pleasant work environment, socially open co-workers, great benefits and compensation, awesome parties. Worked as a programmer for years, at BB, best place I have ever worked so far.","great, benefits, work, place"
#NAME?,compensation
"The pantries are nice, although the majority of the food is basically vending machine fare. The building is constructed entirely with glass walls which is either cool or utterly fascist depending on cynical you are. Working on Solaris and C++ -- and IF YOU GET INTO THE RIGHT GROUP (not GTEC, ADSK, or GSUS), you'll definitely improve your chops. Interesting mix of technologies. Lots of hot women, although chances... are none will actually date you.",food
"Good place to start off a career. They provide plenty of perks for employees to make them feel appreciated. They were patrons of the arts and community service, which is quite unique within the finance industry.",place
"good benefits, opportunity to travel and use languages, good to learn about finance if you do not come from a finance background, reasonable hours,",
"Fun and bright environment, interesting pantry setup to foster communication and ""innovation""?! Open offie to simulate banking experience, flat hierarchy (too flat).",
Good company to work for if you are in the right department. Lot's of young and good looking women. A playground if you are single.,"work, company"
Pay is extremely good -- twice what anybody else is offering.,
#NAME?,"benefits, compensation, work, place, environment"
"Free entrance to museums in New York City! Thanks, Mayor Mike!",
"Early responsobalities, you get in touch with clients very quickly and if you proove them you can handle hard job and responsabilities they give them to you. You don t have to be lazy or average otherwise you will be treated as average.",
"The people without a doubt - as with any office you find people that you just don't have much in common with, or particularly like. But the employees are so diverse you can't really go wrong - you'll always meet a bunch of people you become great friends with","great, people"
"Solid, reliable product; great sales and marketing tools; excellent people to work with","great, work, people"
"Good company culture, there are a lot of senior level people who invest in you and want to see you succeed.. I was there as a summer intern in , and the pay was great, another sign that they are interested in you. The building is also extremely cool, and new age. There are several stocked pantries that provide free food, coffee, and soft drinks.","people, pay, free, senior, company"
"Compensation, Benefits,Good Medical Insurance, K Match, Bonus",
"Good People. The people are young, vibrant and outgoing. There is free food. Very transparent company. Class participation is part of the grade. There are many ways to do this, including coming to class, raising questions in class, joining in class discussions and responding to questions raised during class. Attendance is not explicitly recorded for the class or the section, but it constitutes a crucial learning... experience for the class. In class discussions, our collective goal will be to unravel the facts of the case and explore a variety of reasonable approaches and solutions. Grades are assigned on the basis of class participation that contributes to this process. Emphasis is not on the duration of your “air time” or on getting the “right” solution (typically, there is no “right” solution). Rather, I will be looking for summaries of case facts, well reasoned view points, constructive questions, or other relevant insights that enrich the discussion. Please note that during class","free, people"
"The work place environment is great, T.V. monitor everywhere, glass meeting rooms, expensive desk and chairs, locations in top financial districts. Culture at Bloomberg is very interesting as well with colors and art. Also I have grown to love the perks with the food and beverages.","environment, work, place, food"
"Great building, competitive salary, excellent benefits package, multi-cultural environment. If you are fresh from college, have no work experience, or would like to find someone to date, an excellent place to work! Unlikely to get fired for any reason. Free food. Really high turnover, so you may get a sales job even if you were a programmer.","benefits, work, place"
#NAME?,"snacks, health"
Very open environment. Very good place to start a career in finance especially when you dont have background in financial industry.,place
"The atmosphere is fast paced, the salary is decent as are the bonuses (at least so far), communication channels are fairly clear compared to many other places I've worked. I've seen some complaints about programmer notes in some of the other posts, but at least there are systems for tracking issues, projects and work completed--I've worked in many places outside the finance industry where things aren't nearly as... clear-cut. Many of the Plan B changes appear to be intended for improving retention, especially for employees with families. Bloomberg used to be notorious for requiring ""face time"" from employees; having the option to work at home for a day when kids are sick makes life a lot easier.","work, salary, fast, home"
"The company offers competitive pay, and a great benefits package that is better than investment banks. There is free food. The people working there are friendly, smart, and generally easy going compared to people at investment banks. More job security than investment banks. Fast paced work environment and some very interesting work. Ability and talent, not seniority, are recognized and rewarded. Training... program for new grads.","great, benefits, people, paced, work, free, working, environment, company"
The compensation and the transparency are the best reasons for one to work for Bloomberg L.P.,"work, compensation"
"good benefits, smart people around, and people like to present great ideas","great, smart, people"
"Pays well, Good work-life balance, Fast-paced work, everyone gets a lot of responsibility, the ability to quickly see the impact of your work",work
Pay and Benefits are very good. Job stability at Bloomberg is very good. The company encourages employees to volunteer with various charities.,company
"Good compensation, especially the benefits and paid time off. Some really smart people as peers.","benefits, smart, people"
Bloomberg as a work place has not had the best reputation in the past but a lot of that has changed. It is a very open kind of place which some people like and some do not.,"work, place, people"
"Global opportunities, generous benefits, good work-life balance, limited downside in bad times (no layoffs), compensation structure and criteria are clear and transparent to all",compensation
competitive salaries good work culture openness takes care of employees great location in nyc profitable business model,"great, work, culture"
"Bloomberg provides a solid benefits package for its employees. It is one of the few companies that I have worked for that pays the entire cost of health insurance for its employees. The company also provides meals a day at ""no cost"" at its Princeton, NJ location. If you are interested in state-of-the-art analytics for the financial markets, this is a great place to work.","benefits, insurance, place, health, great, company"
"Compensation and benefits, resources and support.",
"High pay, free food, beautiful building, great location, smart people.","free, smart, great"
Pay is good and if you show up on time and write tidy programmers notes you'll never get fired.,
"worldwide reach, chance to cover a variety of subjects. The pay is pretty good compared to other news organizations that you will work for. Your job is probably more secure at Bloomberg, because they are more immune to changes in the economy than other news organizaiton because they cater more to the financial community","work, pay"
The compensation at Bloomberg for entry level qualified positions is relatively high. It is a well-known company and a very recognizable brand name.,"company, compensation"
"It is great for a first job as you are exposed to different fields of work and quickly learn how things work and get client exposure. For somebody who wants to start in finances you can learn a lot and then move on. Also the work enviroment is nice, the teams mostly work well together, you go out in the evenings and the athmosphere is friendly.","great, work"
If you have absolutely no other choice. If McDonald's will not offer you a job. This place gives you free food and free prescription. They have a nurse that works there all the time. You have to wonder why they would need a full-time nurse.,"food, free, place"
Bloomberg has a great compensation and benefits package. It is a good company to develop your career fresh out of college.,"great, benefits, company, compensation"
"very technical environment, most others in the programming group in London are highly talented. Money is fairly good considering the job is safe and you're not actually in a bank. Some of the work can be interesting though that is very dependent on the group you are working in.","work, working"
"great benefits, free snacks, amazing building and office environment","environment, free, great"
"Free food, good work-life balance. Regular office parties, lots of free booze :). Firm seems to spend money like crazy, at the slightest excuse. Pity that they dont cut down on unncessary parties and so on, and increase employee pay a bit more. Work culture is good, and mostly your superiors are really open and accessible to you, no matter how low down the rung you are.","free, culture, pay"
"A well known name, but nothing else",
"Great building, competitive salary, excellent benefits package, multi-cultural environment. If you are fresh from college, have no work experience, or would like to find someone to date, an excellent place to work! Unlikely to get fired for any reason. Free food. Really high turnover, so you may get a sales job even if you were a programmer.","benefits, work, place"
Great benefits packages. They take care of you. It's a culture that prizes efficiency above all else. It's easy to get postings abroad. They're the dominant player in the financial data market.,"benefits, culture"
"Compensation, relaxed work atmosphere--no dress code and semi flexible hours.","work, flexible"
"Compared to other Computer Science job opportunities in New York City and elsewhere in the field, Bloomberg gives some pretty attractive packages; the benefits are great, the workplace is vibrant and most coworkers are competent.",benefits
"Drawing points for Bloomberg: great compensation/packages, intelligent co-workers, industry leader. At work you'll be working with some very intelligent people, some known widely throughout the industry. It's also nice to work for a company that is the industry leader in financial data and news - it blows all competitors out of the window. Depending on your personality, you may or may not like the fact that the... pace at Bloomberg is very fast. Unlike traditional software companies, where time is spent on requirements gathering and design, Bloomberg emphasizes time to market and getting things out the door: software moves once a week, not once a year like other companies.","great, work, company, working"
"snack bar is awesome! the building is beautiful, and the environment is dynamic. Always something exciting going on and plenty of scoops. Cool to see Charlie Rose and crew around the building as well. I feel like Bloomberg has the best reporting out there and is at the top of its game. Feel really proud when I tell people I work at Bloomberg TV. The new office space is much nicer than the old building on Park.... Also there is hour security so women can feel safe working there late.","environment, work, people, working"
